img_id;marker_type;intensity;folder_name;pose;rvec;tvec;n_valid;corners;ids;rvec_est;tvec_est
1p_2;110.0;160.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;-6.134999999999991,-27.379999999999995,40.74;1;1495.3597,799.5654,1504.3837,615.3272,1721.95,623.8497,1731.5221,806.6031;5.0;;
1p_2;110.0;160.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;-6.134999999999991,-27.379999999999995,40.74;1;1483.8556,809.2573,1493.1747,626.7058,1710.3549,614.21326,1719.5962,798.23224;5.0;;
1p_2;110.0;160.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;-6.134999999999991,-27.379999999999995,40.74;1;1477.4458,819.2867,1486.0989,638.99274,1695.4988,605.55414,1704.9064,790.2523;5.0;;
1p_2;110.0;160.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;-6.134999999999991,-27.379999999999995,40.74;1;1475.6771,829.311,1483.4557,650.8892,1677.763,598.5237,1685.5455,785.21375;5.0;;
1p_2;110.0;160.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;-6.134999999999991,-27.379999999999995,40.74;1;1478.2,838.8535,1484.8832,662.5656,1657.368,593.45703,1663.3455,781.6122;5.0;;
1p_2;110.0;160.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;-6.134999999999991,-27.379999999999995,40.74;1;1484.341,847.82965,1490.2441,673.5092,1635.1289,590.6196,1640.0674,778.32916;5.0;;
1p_2;110.0;160.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;-6.134999999999991,-27.379999999999995,40.74;1;1494.2273,855.5211,1498.8157,683.279,1612.8226,590.3429,1615.2227,777.82434;5.0;;
1p_2;110.0;160.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;-6.134999999999991,-27.379999999999995,40.74;1;1507.3475,862.71564,1510.6906,692.437,1590.313,593.0834,1590.8506,777.55927;5.0;;
1p_2;110.0;160.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;-6.134999999999991,-27.379999999999995,40.74;1;1523.6986,868.83356,1526.082,697.7468,1570.6058,596.01434,1568.0,773.0;5.0;;
1p_2;110.0;210.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;-56.13499999999999,-27.379999999999995,40.74;1;825.1123,893.38904,866.4024,729.6472,994.07635,769.8202,964.11615,923.3317;5.0;;
1p_2;110.0;210.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;-56.13499999999999,-27.379999999999995,40.74;1;812.6319,896.81244,853.4467,734.6207,991.40564,763.0927,960.9199,918.14526;5.0;;
1p_2;110.0;210.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;-56.13499999999999,-27.379999999999995,40.74;1;802.7316,901.70337,842.5202,740.5976,985.394,755.96045,955.284,912.37994;5.0;;
1p_2;110.0;210.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;-56.13499999999999,-27.379999999999995,40.74;1;796.05286,905.9481,834.4019,747.6465,978.3032,750.20044,945.2064,907.6259;5.0;;
1p_2;110.0;210.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;110.0;210.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;-56.13499999999999,-27.379999999999995,40.74;0;;;;
1p_2;160.0;210.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;-56.13499999999999,22.620000000000005,40.74;1;843.4375,1698.8628,804.5537,1522.3756,949.0668,1497.2389,976.65466,1660.1089;5.0;;
